"country","founded","id","industry","linkedin_url","locality","name","region","size","website"
"united states","2020","buffalo-bridge","newspapers","linkedin.com/company/buffalo-bridge","buffalo","buffalo bridge","new york","1-10","buffalovesyou.com"
"italy","2020","insidemagazine","newspapers","linkedin.com/company/insidemagazine","roma","insidemagazine","veneto","1-10","insidemagazine.it"
"mexico","2020","pico-informativo","newspapers","linkedin.com/company/pico-informativo","","pico informativo","estado de mexico","51-200","picoinformativo.com"
"india","2020","the-green-pages-gwh","newspapers","linkedin.com/company/the-green-pages-gwh","bengaluru","the green pages gwh","karnataka","11-50","thegreenpagesgwh.com"
"india","2020","park-street-journal","newspapers","linkedin.com/company/park-street-journal","mumbai","park street journal","maharashtra","11-50","parkstreetjournal.in"
"","2020","veirmagazine","newspapers","linkedin.com/company/veirmagazine","","veìr magazine","","1-10","veirmagazine.com"
"","2020","juniorlens","newspapers","linkedin.com/company/juniorlens","","junior lens","","1-10","juniorlens.com"
"malaysia","2020","thestraitsnews","newspapers","linkedin.com/company/thestraitsnews","","the straits news","kuala lumpur","1-10","thestraitsnews.com"
"india","2020","greyworks","newspapers","linkedin.com/company/greyworks","","the impact","","1-10",""
"france","2020","cocottes-magazine","newspapers","linkedin.com/company/cocottes-magazine","moutiers","cocottes magazine","lorraine","1-10","cocottes-magazine.fr"
"","2020","the-active-hustle","newspapers","linkedin.com/company/the-active-hustle","","the active hustle","","1-10","theactivehustle.today"
"thailand","2020","the-thai-enquirer","newspapers","linkedin.com/company/the-thai-enquirer","","thai enquirer","bangkok","11-50","thaienquirer.com"
"india","2020","truthcapsule","newspapers","linkedin.com/company/truthcapsule","new delhi","truthcapsule","delhi","11-50","truthcapsule.in"
"united kingdom","2020","the-stray-ferret","newspapers","linkedin.com/company/the-stray-ferret","harrogate","the stray ferret","north yorkshire","1-10","thestrayferret.co.uk"
"united states","2020","agencylmu","newspapers","linkedin.com/company/agencylmu","los angeles","agency lmu","california","11-50","agencylmu.com"
"united kingdom","2020","mouthing-off","newspapers","linkedin.com/company/mouthing-off","","mouthing off","hampshire","1-10","mouthingoff.co.uk"
"india","2020","azaad-awaaz","newspapers","linkedin.com/company/azaad-awaaz","sonipat","azaad आवाज़","haryana","1-10",""
"brazil","2020","jornal-do-agro","newspapers","linkedin.com/company/jornal-do-agro","","jornal do agro","goias","1-10","instagram.com/jornaldoagro"
"italy","2020","threatit","newspapers","linkedin.com/company/threatit","milan","threat it","lombardia","1-10","threatit.com"
